Year,Type,Country,Activity,Sex,Age,Fatal (Y/N)
2016,Unprovoked,AUSTRALIA,Surfing,M,18,N
2016,Unprovoked,JAPAN,Surfing,M,29,N
2016,Unprovoked,AUSTRALIA,Surfing,M,36,N
2016,Unprovoked,BAHAMAS,Spearfishing,M,NA,N
2016,Provoked,AUSTRALIA,Fishing,M,31,N
2016,Boating,USA,Fishing in Alabama Deep Fishing Rodeo,NA,NA,N
2016,Unprovoked,USA,Surfing,F,9,N
2016,Unprovoked,USA,NA,F,11,N
2016,Unprovoked,USA,Kite surfing,M,61,N
2016,Unprovoked,USA,Swimming,M,NA,N
2016,Unprovoked,BAHAMAS,Scuba Diving,M,NA,N
2016,Unprovoked,SPAIN,Wading,F,10,N
2016,Boating,USA,Fishing for squid,M,NA,N
2016,Provoked,USA,Fishing,M,59,N
2016,Boating,USA,Fishing for sharks,M,NA,N
2016,Unprovoked,USA,Swimming,F,42,N
2016,Provoked,AUSTRALIA,Fishing,M,34,N
2016,Unprovoked,USA,NA,M,35,N
2016,Unprovoked,USA,Surfing,M,11,N
2016,Unprovoked,COLUMBIA,Scuba Diving,M,59,N
2016,Unprovoked,SOUTH AFRICA,Spearfishing,M,43,N
2016,Unprovoked,USA,Floating,M,42,N
2016,Unprovoked,USA,Wading,M,NA,N
2016,Unprovoked,USA,Surfing,M,NA,N
2016,Provoked,AUSTRALIA,Spearfishing,M,19,N
2016,Unprovoked,USA,Floating in tube,F,6,N
2016,Unprovoked,USA,Standing,M,19,N
2016,Invalid,USA,Surfing,M,27,NA
2016,Unprovoked,USA,Swimming,M,64,N
2016,Unprovoked,AUSTRALIA,Diving,F,60,Y
2016,Unprovoked,EGYPT,Swimming,M,23,N
2016,Unprovoked,AUSTRALIA,Spearfishing,M,NA,NA
2016,Unprovoked,NEW CALEDONIA,Kite surfing,M,NA,N
2016,Unprovoked,AUSTRALIA,Surfing,M,29,Y
2016,Unprovoked,USA,Swimming,F,52,N
2016,Unprovoked,USA,Swimming,M,13,N
2016,Unprovoked,USA,Swimming,F,57,N
2016,Unprovoked,USA,Swimming,F,22,N
2016,Unprovoked,USA,Swimming,F,11,N
2016,Unprovoked,USA,Swimming,M,48,N
2016,Provoked,USA,Teasing a shark,F,23,N
2016,Unprovoked,USA,Floating,M,59,N
2016,Provoked,NEW ZEALAND,Fishing,M,39,N
2016,Unprovoked,INDONESIA,Surfing,M,24,N
2016,Unprovoked,USA,Surfing,M,15,N
2016,Unprovoked,SOUTH AFRICA,Surf-skiing,M,NA,N
2016,Unprovoked,AUSTRALIA,Swimming,M,12,N
2016,Provoked,FRENCH POLYNESIA,Spearfishing,M,22,M
2016,Provoked,FRENCH POLYNESIA,Spearfishing,M,26,N
2016,Unprovoked,USA,Spearfishing,M,26,N
2016,Unprovoked,NEW CALEDONIA,Walking,F,69,Y
2016,Invalid,CAPE VERDE,NA,M,60,NA
2016,Unprovoked,USA,Fishing,M,34,N
2016,Invalid,USA,SUP,M,NA,NA
2016,Unprovoked,USA,Snorkeling,F,46,N
2016,Unprovoked,AUSTRALIA,Surfing,M,22,N
2016,Unprovoked,USA,NA,M,Teen,NA
2016,Unprovoked,AUSTRALIA,Surfing,M,41,N
2016,Provoked,BAHAMAS,NA,M,9,N
2016,Invalid,USA,Surfing,NA,NA,NA
2016,Unprovoked,USA,Body surfing,M,19,N
2016,Unprovoked,Fiji,Diving for beche-de-mer,M,45,Y
2016,Unprovoked,USA,NA,M,12,N
2016,Unprovoked,AUSTRALIA,Fishing,M,NA,N
2016,Unprovoked,BRAZIL,Swimming,M,41,N
2016,Unprovoked,NEW CALEDONIA,Kite surfing,M,21,N
2016,Unprovoked,NEW CALEDONIA,Spearfishing,M,31,N
2016,Unprovoked,DOMINICAN REPUBLIC,Wading,F,NA,N
2016,Invalid,CAYMAN ISLANDS,Feeding stingrays?,M,65,NA
2016,Invalid,AUSTRALIA,Surfing,M,NA,NA
2016,Unprovoked,AUSTRALIA,Walking,F,45,N
2016,Unprovoked,AUSTRALIA,Windsurfing,M,40,N
2016,Unprovoked,BRAZIL,Swimming,M,41,N
2016,Boating,SOUTH AFRICA,Kayak fishing,M,NA,N
2016,Unprovoked,USA,Surfing,M,NA,N
2016,Unprovoked,USA,Surfing,F,15,N
2016,Unprovoked,USA,Spearfishing,M,NA,N
2016,Boating,UNITED ARAB EMIRATES,Fishing,M,NA,N
2016,Unprovoked,USA,Paddle boarding,M,48,N
2016,Unprovoked,AUSTRALIA,Surfing,M,NA,N
2016,Unprovoked,AUSTRALIA,Wading,M,11,N
2016,Unprovoked,AUSTRALIA,Spearfishing,M,31,N
2015,Boating,SOUTH AFRICA,Kayak Fishing,M,NA,N
2015,Unprovoked,SPAIN,Swimming,F,38,N
2015,Unprovoked,USA,Paddle boarding,M,71,N
2015,Unprovoked,AUSTRALIA,Surfing,M,43,N
2015,Unprovoked,BRAZIL,Scuba diving,M,32,N
2015,Unprovoked,ARUBA,Sea disaster,M,58,Y
2015,Boating,AUSTRALIA,Fishing,NA,NA,N
2015,Unprovoked,BAHAMAS,Lobster fishing,M,26,N
2015,Unprovoked,SOUTH AFRICA,Swimming / Wading,F,22,N
2015,Unprovoked,ECUADOR,Snorkeling,M,55,N
2015,Unprovoked,USA,Surfing,M,NA,N
2015,Unprovoked,USA,Swimming,F,NA,N
2015,Unprovoked,USA,Surfing,M,28,N
2015,Unprovoked,AUSTRALIA,Surfing,M,20,N
2015,Invalid,USA,Surfing,F,9,NA
2015,Unprovoked,USA,Swimming,M,54,N
2015,Unprovoked,USA,Wading,F,28,N
2015,Unprovoked,MOZAMBIQUE,Fishing,M,19,N
2015,Unprovoked,AUSTRALIA,Spearfishing,M,50,N
2015,Unprovoked,USA,Body boarding,M,10,N
2015,Unprovoked,SOUTH AFRICA,Surfing,M,42,N
2015,Unprovoked,USA,Surfing,M,21,N
2015,Unprovoked,USA,Surfing,M,21,N
2015,Unprovoked,MOZAMBIQUE,Fishing for shrimp,F,35,Y
2015,Invalid,USA,Surfing,M,32,NA
2015,Unprovoked,USA,Swimming,M,44,N
2015,Boating,USA,Kayak Fishing,M,NA,N
